Wall time,Step,Value
1714878234.269626,100,3.463270902633667
1714878283.427118,200,2.9091553688049316
1714878332.52456,300,2.708855628967285
1714878381.737471,400,2.6161582469940186
1714878430.92511,500,2.614574909210205
1714878480.118195,600,2.4201111793518066
1714878529.331625,700,2.34279727935791
1714878578.559382,800,2.3129172325134277
1714878627.672055,900,2.29520320892334
1714878676.802799,1000,2.1761324405670166
1714878726.87126,1100,2.2010819911956787
1714878776.128052,1200,2.1352458000183105
1714878825.406116,1300,2.210222005844116
1714878874.764892,1400,2.053973913192749
1714878923.976361,1500,1.9364144802093506
1714878973.239759,1600,2.1179981231689453
1714879022.418026,1700,1.9034391641616821
1714879071.567055,1800,1.9115076065063477
1714879120.775628,1900,1.8730448484420776
1714879169.971746,2000,1.8522708415985107
1714879220.00331,2100,1.8646873235702515
1714879269.252559,2200,1.8315095901489258
1714879318.49341,2300,1.7994569540023804
1714879367.620637,2400,1.8288688659667969
1714879416.871584,2500,1.7268950939178467
1714879465.896888,2600,1.8056749105453491
1714879515.09577,2700,1.7170747518539429
1714879564.318989,2800,1.6526683568954468
1714879613.436837,2900,1.9174308776855469
1714879662.590486,3000,1.7260288000106812
1714879712.579309,3100,1.7987799644470215
1714879761.804362,3200,1.738039493560791
1714879811.096556,3300,1.719420313835144
1714879860.325886,3400,1.6081548929214478
1714879909.643835,3500,1.7494463920593262
1714879958.777627,3600,1.7029914855957031
1714880007.954559,3700,1.670873999595642
1714880057.170183,3800,1.5258830785751343
1714880106.444831,3900,1.6967343091964722
1714880155.699971,4000,1.733218789100647
1714880205.731258,4100,1.7023344039916992
1714880254.933868,4200,1.6223995685577393
1714880304.159763,4300,2.055166244506836
1714880353.336941,4400,1.8466918468475342
1714880402.530025,4500,1.5832085609436035
1714880451.722524,4600,1.5844634771347046
1714880500.895339,4700,1.5938752889633179
1714880550.010328,4800,1.563939094543457
1714880599.180389,4900,1.6143244504928589
1714880648.269945,5000,1.572495937347412
1714880698.161905,5100,1.6941206455230713
1714880747.340169,5200,1.7257386445999146
1714880796.476976,5300,1.5834228992462158
1714880845.667693,5400,1.5406233072280884
1714880894.856691,5500,1.5383213758468628
1714880943.94266,5600,1.5576940774917603
1714880993.219725,5700,1.5212812423706055
1714881042.550858,5800,1.4847373962402344
1714881091.787717,5900,1.4770231246948242
1714881141.107148,6000,1.4926279783248901
1714881191.25574,6100,1.5181303024291992
1714881240.461234,6200,1.5943526029586792
1714881289.760866,6300,1.6296696662902832
1714881339.080168,6400,1.5798192024230957
1714881388.435,6500,1.5499451160430908
1714881437.673596,6600,1.6462711095809937
1714881486.99123,6700,1.7209386825561523
1714881536.245953,6800,1.6187623739242554
1714881585.624208,6900,1.5579514503479004
1714881634.743961,7000,1.5300236940383911
1714881684.830961,7100,1.5379432439804077
1714881734.18652,7200,1.5194947719573975
1714881783.51796,7300,1.535478115081787
1714881832.860762,7400,1.5568938255310059
1714881882.145687,7500,1.5861223936080933
1714881931.47922,7600,1.5603665113449097
1714881980.829032,7700,1.4762519598007202
1714882030.14911,7800,1.4909814596176147
1714882079.398677,7900,1.4657589197158813
1714882128.786192,8000,1.5157753229141235
1714882179.002407,8100,1.5112519264221191
1714882228.375298,8200,1.5858303308486938
1714882277.721666,8300,1.5327057838439941
1714882327.118622,8400,1.4716978073120117
1714882376.52382,8500,1.4409152269363403
1714882425.915282,8600,1.5470175743103027
1714882475.237898,8700,1.4990568161010742
1714882524.568769,8800,1.5056530237197876
1714882573.956563,8900,1.4565646648406982
1714882623.246961,9000,1.4301620721817017
1714882673.383414,9100,1.4386122226715088
1714882722.757781,9200,1.5113894939422607
1714882772.246545,9300,1.5348173379898071
1714882821.521791,9400,1.4815483093261719
1714882870.681945,9500,1.4425777196884155
1714882919.969355,9600,1.3791073560714722
1714882969.425039,9700,1.4259247779846191
1714883018.651545,9800,1.374482274055481
1714883067.997375,9900,1.3817203044891357
